case_description,label
My house was broken into and valuable electronics were stolen.,theft
Jewelry and cash were taken from my house while we were on vacation.,theft
My phone was stolen from my bag while I was on the train.,theft
Several items were missing after my apartment was burglarized.,theft
My laptop was stolen while I was working at a coffee shop.,theft
Someone broke into my car and took my stereo.,theft
Cash was taken from my wallet at the office.,theft
I returned home to find my back door broken and my TV missing.,theft
Several valuable items were stolen from my store during the night.,theft
A person snatched my purse while I was walking home.,theft
Someone stole my passport from my bag at the airport.,theft
My wallet is stolen.,theft
Someone was seen shoplifting items from a grocery store, theft
A person was caught trying to steal electronics from a retail store, theft
A man was arrested for attempting to steal a bicycle parked outside, theft
Authorities found several stolen goods in a suspect's apartment, theft
An individual was charged with stealing items from a local convenience store, theft
A teenager was caught trying to steal from a school locker, theft
Someone was apprehended for pickpocketing in a crowded market, theft
A group was charged for organized retail theft at a shopping mall, theft
Several people were arrested during a sting operation targeting theft, theft
Police are urging citizens to be vigilant against theft during the holiday season, theft
Someone was found shoplifting food items from a grocery store, theft
An individual was caught trying to steal clothing from a mall, theft
Authorities apprehended someone for attempting to steal tools from a hardware store, theft
A person was charged with theft after being caught with stolen merchandise in their backpack, theft
Several people were arrested for participating in organized retail theft, theft
A man was observed concealing items in his clothing at a supermarket, theft
A vehicle was stolen from the driveway while the owner was inside the house, theft
Authorities discovered a network of individuals involved in stealing from multiple stores, theft
A local business reported an increase in theft incidents prompting security upgrades, theft
The vehicle was taken from a public parking lot during the late evening hours, theft
The car was reported stolen after the owner left it unattended for a short period, theft
Theft occurred in a residential neighborhood, theft
Witness reported seeing a person wearing a dark hoodie near the vehicle before it was stolen, theft
,
I was punched in the face by a stranger on the street.,assault
A man hit me with a bottle during an argument at the bar.,assault
Someone attacked me with a knife and ran away.,assault
I was physically assaulted by my coworker during a meeting.,assault
A person hit me with a bat outside the stadium.,assault
I was slapped in the face during a dispute.,assault
Someone kicked me during a heated argument.,assault
I was attacked by a group of people after the concert.,assault
A stranger grabbed me forcefully in the park.,assault
I was shoved to the ground during a protest.,assault
A person punched me during a road rage incident.,assault
,
A person tried to sell me drugs outside the nightclub.,drug offense
I was arrested for possession of a small amount of marijuana.,drug offense
Someone offered me illegal substances at the party.,drug offense
A man was caught dealing drugs in front of my apartment.,drug offense
I witnessed a drug transaction near the school.,drug offense
Police found illegal drugs in my friend's car.,drug offense
A person was arrested for selling drugs at the concert.,drug offense
My neighbor was caught growing marijuana in their backyard.,drug offense
Several people were arrested for drug trafficking at the airport.,drug offense
I saw someone using drugs in the restroom of the club.,drug offense
A package of illegal drugs was intercepted at the post office.,drug offense
,
I was defrauded by someone selling fake concert tickets online.,fraud
A person used my credit card information to make unauthorized purchases.,fraud
Someone tried to scam me by pretending to be from the IRS.,fraud
My identity was stolen and used to open new credit accounts.,fraud
I was a victim of a phishing scam and lost money from my bank account.,fraud
Someone sold me counterfeit goods online.,fraud
I was tricked into giving away my personal information in a fake job offer.,fraud
A scammer pretended to be a charity and stole my donation.,fraud
Someone forged my signature on a legal document.,fraud
I was cheated out of money in an online investment scheme.,fraud
I was scammed into paying a fake utility bill.,fraud
,
My home computer was hacked and sensitive information was stolen.,cybercrime
Someone stole my personal photos and posted them online without my consent.,cybercrime
I was blackmailed online after my social media account was hacked.,cybercrime
A person threatened to release my private information unless I paid them.,cybercrime
I was a victim of a ransomware attack on my computer.,cybercrime
Someone used my personal details to create fake accounts online.,cybercrime
My email was hacked and used to send spam.,cybercrime
A cybercriminal stole my credit card details through a phishing attack.,cybercrime
Someone impersonated me on a social network and contacted my friends.,cybercrime
I received threatening messages from a stranger online.,cybercrime
My MMS got leaked and main suspect is my ex boyfriend., cybercrime
The perpetrator distributed explicit content involving the victim through MMS without consent., cybercrime
Private photos and personal data were shared without consent., cybercrime
,
My car was stolen from the parking lot last night.,vehicle theft
Someone broke into my truck and took all my tools.,vehicle theft
My motorcycle was stolen from outside my apartment.,vehicle theft
Someone tried to hotwire my car but failed.,vehicle theft
A person stole my friend's car while we were at a party.,vehicle theft
My rental car was stolen from the hotel parking lot.,vehicle theft
A car thief broke the window and stole my vehicle.,vehicle theft
Someone took my car without my permission.,vehicle theft
I found my car's ignition damaged as someone attempted to steal it.,vehicle theft
My car was stolen from the parking lot outside the mall, vehicle theft
Someone broke into my garage and stole my motorcycle, vehicle theft
A car was reported stolen from outside the restaurant, vehicle theft
He stole a parked car and fled the scene, vehicle theft
A group was caught stealing cars from the parking lot, vehicle theft
A man was seen driving a stolen vehicle down the street, vehicle theft
A neighbor reported seeing suspicious activity near parked cars, vehicle theft
A vehicle theft ring was busted by the police last week, vehicle theft
Authorities are investigating a spike in car thefts in the area, vehicle theft
,
My neighbor's dog attacked me in the park.,animal attack
A stray dog bit me while I was jogging.,animal attack
I was scratched by a stray cat in my yard.,animal attack
Someone's aggressive dog chased and bit my child.,animal attack
A wild animal attacked me during my hike in the woods.,animal attack
I was bitten by a snake while camping.,animal attack
An unleashed dog bit me as I was walking past the owner's house.,animal attack
A dog bit my leg while I was delivering a package.,animal attack
I was attacked by a dog at a friend's house.,animal attack
An aggressive bird attacked me in my backyard.,animal attack
,
Someone set fire to my house.,arson
A person was caught setting fire to a building in the neighborhood.,arson
My car was deliberately set on fire while parked outside my home.,arson
The store across the street was set on fire by an arsonist.,arson
A group of people were seen setting fire to a park bench.,arson
My shed was burned down in an intentional fire.,arson
Someone started a fire in the dumpster behind my office.,arson
My neighbor's garage was set on fire.,arson
An abandoned building nearby was set on fire by unknown individuals.,arson
A man was caught trying to start a fire in the forest.,arson
,
"She spread false rumors online, damaging my reputation.",defamation
"I was defamed in a social media post, which caused harm to my career.",defamation
Someone published an article containing false statements about me.,defamation
He posted fake reviews about my business to ruin its image.,defamation
"She is spreading lies about my personal life, tarnishing my name.",defamation
A video was uploaded falsely accusing me of illegal activities.,defamation
My reputation was damaged after false statements were broadcasted.,defamation
"Someone accused me of crimes I didn’t commit, which affected my business.",defamation
A person claimed I engaged in fraudulent behavior on social media.,defamation
He published false claims about my character in a local newspaper.,defamation
,
"People are rioting in the streets, causing chaos and destroying property.",riot
A group of protestors turned violent and started attacking buildings.,riot
Several shops were looted during a riot in the city.,riot
The crowd began setting vehicles on fire during the riot.,riot
Police were called to control the violent mobs destroying property.,riot
Protestors began throwing rocks and breaking windows during the riot.,riot
People set public buses on fire during the violent protest.,riot
The riot caused widespread destruction across the city center.,riot
Masked individuals attacked law enforcement during the riots.,riot
"Several rioters broke into government buildings, causing damage.",riot
,
My personal information was stolen and used to open fraudulent accounts.,identity theft
Someone used my name to apply for a credit card without my knowledge.,identity theft
I received bills for services I never used because of identity theft.,identity theft
A man was arrested for stealing people’s identities to commit fraud.,identity theft
Someone opened a bank account using my stolen identity.,identity theft
I discovered multiple unauthorized charges made in my name.,identity theft
